数据类型,订单号,采购单号,物料ID,供应商代码,变更类型,原交付日期,新交付日期,变更天数,变更原因,变更来源,变更时间
交期变更记录,SO-2026-07021,PO20261001447,P0088,SUP026,物料短缺,2026/10/13,2026/10/6,-7,PCB板交期延长,采购员,2026/9/18
交期变更记录,SO-2026-01367,PO20260701448,P0049,SUP035,供应商延期,2026/7/2,2026/7/7,5,恶劣天气影响运输,供应商,2026/6/3
交期变更记录,SO-2026-09495,,P0019,SUP005,供应商延期,2027/3/15,2027/3/22,7,设备故障维修影响产出,计划员,2027/2/24
交期变更记录,SO-2026-09820,PO20260201450,P0072,SUP012,供应商延期,2026/2/16,2026/3/2,14,供应商产线故障维修,供应商,2026/1/25
交期变更记录,SO-2026-05480,,P0075,SUP020,供应商延期,2027/4/14,2027/4/24,10,原材料到货延迟,系统,2027/3/20
交期变更记录,SO-2026-04809,,P0018,SUP033,供应商延期,2027/5/14,2027/6/1,18,原材料到货延迟,采购员,2027/5/11
交期变更记录,SO-2026-09639,PO20260901453,P0040,SUP034,客户加急,2026/9/28,2026/9/15,-13,客户生产线紧急启动,计划员,2026/9/23
交期变更记录,SO-2026-01667,PO20260601454,P0092,SUP011,供应商提前,2026/6/27,2026/6/21,-6,供应商备货充足提前发货,采购员,2026/6/24
交期变更记录,SO-2026-09534,,P0100,SUP024,客户加急,2027/4/15,2027/4/7,-8,客户生产线紧急启动,计划员,2027/4/6
交期变更记录,SO-2026-12872,PO20260601456,P0050,SUP009,供应商延期,2026/6/14,2026/7/4,20,供应商产线故障维修,系统,2026/5/16
交期变更记录,SO-2026-11063,PO20260601457,P0080,SUP009,供应商延期,2026/6/14,2026/6/28,14,上游芯片短缺传导影响,系统,2026/6/13
交期变更记录,SO-2026-09551,PO20270101458,P0100,SUP011,物流问题,2027/1/23,2027/1/31,8,跨境物流清关延迟,系统,2027/1/17
交期变更记录,SO-2026-03473,,P0003,SUP026,物流问题,2026/7/1,2026/7/7,6,运输车辆故障,计划员,2026/6/13
交期变更记录,SO-2026-01863,,P0051,SUP013,供应商提前,2026/7/31,2026/7/30,-1,供应商备货充足提前发货,供应商,2026/7/14
交期变更记录,SO-2026-06186,PO20260701461,P0054,SUP016,供应商提前,2026/7/27,2026/7/21,-6,供应商产能释放提前,系统,2026/7/4
交期变更记录,SO-2026-01167,PO20270101462,P0061,SUP004,客户加急,2027/1/18,2027/1/9,-9,客户生产线紧急启动,系统,2026/12/29
交期变更记录,SO-2026-08715,PO20260601463,P0018,SUP026,供应商延期,2026/6/26,2026/7/1,5,物流运输途中延误,系统,2026/6/8
交期变更记录,SO-2026-11132,,P0073,SUP030,供应商延期,2026/6/14,2026/6/18,4,工人返岗率不足,采购员,2026/6/10
交期变更记录,SO-2026-04743,PO20260701465,P0037,SUP031,供应商延期,2026/7/4,2026/7/20,16,原材料到货延迟,系统,2026/6/22
交期变更记录,SO-2026-05693,,P0061,SUP003,供应商延期,2026/8/23,2026/8/28,5,设备故障维修影响产出,系统,2026/7/30
交期变更记录,SO-2026-01930,PO20260701467,P0090,SUP015,供应商延期,2026/7/18,2026/7/26,8,恶劣天气影响运输,系统,2026/6/21
交期变更记录,SO-2026-13276,PO20260801468,P0057,SUP031,供应商延期,2026/8/12,2026/8/19,7,上游芯片短缺传导影响,计划员,2026/8/8
交期变更记录,SO-2026-01769,PO20261101469,P0065,SUP021,供应商延期,2026/11/18,2026/11/30,12,供应商产线故障维修,供应商,2026/11/11
交期变更记录,SO-2026-05922,,P0016,SUP029,物流问题,2027/4/16,2027/4/29,13,空运舱位不足改海运,采购员,2027/3/18
交期变更记录,SO-2026-02274,PO20261001471,P0085,SUP030,物流问题,2026/10/2,2026/10/10,8,港口拥堵导致船期延误,供应商,2026/9/22
交期变更记录,SO-2026-02369,PO20261101472,P0006,SUP036,物料短缺,2026/11/29,2026/11/18,-11,PCB板交期延长,系统,2026/11/23
交期变更记录,SO-2026-06584,PO20260501473,P0076,SUP006,供应商延期,2026/5/7,2026/5/19,12,质量检验不合格返工,系统,2026/5/1
交期变更记录,SO-2026-07627,PO20261001474,P0092,SUP031,供应商延期,2026/10/7,2026/10/26,19,质量检验不合格返工,系统,2026/9/16
交期变更记录,SO-2026-08865,,P0029,SUP031,供应商延期,2026/8/15,2026/8/30,15,物流运输途中延误,采购员,2026/7/25
交期变更记录,SO-2026-08755,PO20261101476,P0006,SUP020,供应商延期,2026/11/4,2026/11/15,11,恶劣天气影响运输,计划员,2026/10/29
交期变更记录,SO-2026-03280,PO20261001477,P0010,SUP024,客户加急,2026/10/22,2026/10/13,-9,客户生产线紧急启动,采购员,2026/9/27
交期变更记录,SO-2026-05529,PO20261101478,P0051,SUP015,客户加急,2026/11/25,2026/11/14,-11,客户展会提前需要,计划员,2026/11/5
交期变更记录,SO-2026-01550,,P0057,SUP015,物料短缺,2026/9/18,2026/9/3,-15,关键芯片供应紧张,供应商,2026/9/13
交期变更记录,SO-2026-07855,PO20270101480,P0082,SUP027,供应商延期,2027/1/29,2027/2/17,19,原材料到货延迟,系统,2027/1/10
交期变更记录,SO-2026-04117,PO20270301481,P0064,SUP005,供应商延期,2027/3/19,2027/4/8,20,设备故障维修影响产出,采购员,2027/3/3
交期变更记录,SO-2026-09833,PO20260801482,P0067,SUP011,供应商延期,2026/8/12,2026/8/22,10,产能已被其他大客户占用,采购员,2026/8/3
交期变更记录,SO-2026-07967,PO20270401483,P0052,SUP015,供应商延期,2027/4/3,2027/4/5,2,质量检验不合格返工,系统,2027/3/9
交期变更记录,SO-2026-05827,PO20260401484,P0069,SUP004,供应商延期,2026/4/9,2026/4/18,9,产能已被其他大客户占用,系统,2026/4/1
交期变更记录,SO-2026-11729,,P0045,SUP030,供应商延期,2026/8/22,2026/8/26,4,原材料供应紧张导致排产延后,计划员,2026/7/23
交期变更记录,SO-2026-04887,PO20261101486,P0038,SUP022,供应商延期,2026/11/24,2026/12/10,16,原材料到货延迟,系统,2026/11/3
交期变更记录,SO-2026-01561,PO20260901487,P0049,SUP009,供应商延期,2026/9/20,2026/9/29,9,质量检验不合格返工,系统,2026/9/9
交期变更记录,SO-2026-01108,PO20260901488,P0082,SUP018,客户加急,2026/9/25,2026/9/21,-4,客户生产线紧急启动,采购员,2026/9/6
交期变更记录,SO-2026-13093,PO20260601489,P0027,SUP021,供应商延期,2026/6/13,2026/6/21,8,供应商原材料短缺,系统,2026/5/28
交期变更记录,SO-2026-05441,,P0019,SUP023,物流问题,2026/4/2,2026/4/6,4,港口拥堵导致船期延误,采购员,2026/3/27
交期变更记录,SO-2026-00342,PO20261201491,P0050,SUP020,供应商延期,2026/12/27,2027/1/2,6,质量检验不合格返工,系统,2026/12/26
交期变更记录,SO-2026-11755,PO20260801492,P0095,SUP010,供应商延期,2026/8/12,2026/8/19,7,原材料到货延迟,采购员,2026/7/20
交期变更记录,SO-2026-10912,PO20260601493,P0008,SUP028,供应商提前,2026/6/14,2026/6/7,-7,供应商优化排产,供应商,2026/5/17
交期变更记录,SO-2026-11072,,P0032,SUP020,物流问题,2026/6/13,2026/6/20,7,跨境物流清关延迟,系统,2026/5/20
交期变更记录,SO-2026-02900,PO20270301495,P0014,SUP017,客户加急,2027/3/6,2027/2/24,-10,客户展会提前需要,计划员,2027/2/24
交期变更记录,SO-2026-13344,PO20260801496,P0050,SUP008,供应商延期,2026/8/23,2026/8/31,8,恶劣天气影响运输,系统,2026/7/30
交期变更记录,SO-2026-11538,PO20260601497,P0047,SUP028,客户加急,2026/6/13,2026/5/29,-15,客户生产线紧急启动,供应商,2026/6/4
交期变更记录,SO-2026-08818,PO20260901498,P0094,SUP013,供应商提前,2026/9/25,2026/9/19,-6,供应商产能释放提前,系统,2026/9/12
交期变更记录,SO-2026-09807,PO20270201499,P0029,SUP021,供应商延期,2027/2/22,2027/3/3,9,物流受阻导致原料延迟到厂,系统,2027/1/30
交期变更记录,SO-2026-01503,PO20261101500,P0070,SUP031,供应商延期,2026/11/8,2026/11/25,17,质量检验不合格返工,采购员,2026/11/1
交期变更记录,SO-2026-11321,PO20260601501,P0048,SUP007,供应商延期,2026/6/15,2026/7/2,17,质量检验不合格返工,系统,2026/5/30
交期变更记录,SO-2026-09532,PO20270201502,P0086,SUP016,供应商延期,2027/2/26,2027/3/9,11,质量检验不合格返工,系统,2027/2/18
交期变更记录,SO-2026-03689,,P0091,SUP012,供应商延期,2027/1/7,2027/1/11,4,恶劣天气影响运输,系统,2027/1/6
交期变更记录,SO-2026-09475,,P0029,SUP024,客户加急,2026/7/3,2026/6/26,-7,竞品上市压力,系统,2026/6/25
交期变更记录,SO-2026-12042,PO20260701505,P0015,SUP021,供应商延期,2026/7/31,2026/8/2,2,供应商原材料短缺,计划员,2026/7/23
交期变更记录,SO-2026-13590,PO20260801506,P0073,SUP007,物流问题,2026/8/9,2026/8/17,8,跨境物流清关延迟,系统,2026/7/28
交期变更记录,SO-2026-02737,PO20260801507,P0046,SUP035,供应商提前,2026/8/19,2026/8/14,-5,供应商产能释放提前,客户,2026/8/10
交期变更记录,SO-2026-05452,,P0036,SUP004,客户加急,2026/12/18,2026/12/14,-4,终端市场需求激增,系统,2026/11/21
交期变更记录,SO-2026-10703,PO20260601509,P0017,SUP022,客户加急,2026/6/10,2026/5/30,-11,客户展会提前需要,系统,2026/5/21
交期变更记录,SO-2026-06937,,P0011,SUP006,供应商延期,2027/1/8,2027/1/20,12,质量检验不合格返工,系统,2026/12/12
交期变更记录,SO-2026-13834,,P0049,SUP034,供应商延期,2026/8/1,2026/8/17,16,供应商产线故障维修,供应商,2026/7/5
交期变更记录,SO-2026-00262,PO20260901512,P0018,SUP002,供应商提前,2026/9/17,2026/9/12,-5,供应商备货充足提前发货,计划员,2026/8/25
交期变更记录,SO-2026-13543,PO20260801513,P0007,SUP005,供应商延期,2026/8/29,2026/9/7,9,恶劣天气影响运输,系统,2026/8/6
交期变更记录,SO-2026-07555,PO20261001514,P0055,SUP023,供应商延期,2026/10/4,2026/10/15,11,供应商产线故障维修,计划员,2026/9/21
交期变更记录,SO-2026-13403,PO20260701515,P0014,SUP012,供应商延期,2026/7/10,2026/7/18,8,质量异常批量返工,系统,2026/6/26
交期变更记录,SO-2026-07780,PO20270101516,P0046,SUP008,供应商延期,2027/1/7,2027/1/21,14,环保检查停产整顿,系统,2027/1/4
交期变更记录,SO-2026-05754,PO20260701517,P0014,SUP024,客户加急,2026/7/2,2026/6/25,-7,竞品上市压力,采购员,2026/6/27
交期变更记录,SO-2026-01081,PO20261001518,P0067,SUP030,供应商延期,2026/10/2,2026/10/3,1,供应商产线故障维修,系统,2026/9/22
交期变更记录,SO-2026-10292,PO20260601519,P0026,SUP036,供应商延期,2026/6/13,2026/6/24,11,电力限产政策影响,系统,2026/5/30
交期变更记录,SO-2026-06120,PO20260401520,P0001,SUP005,供应商延期,2026/4/2,2026/4/17,15,质量检验不合格返工,系统,2026/3/19
交期变更记录,SO-2026-13301,PO20260801521,P0029,SUP003,供应商延期,2026/8/22,2026/9/8,17,原材料到货延迟,系统,2026/8/19
交期变更记录,SO-2026-11584,PO20260601522,P0062,SUP027,物料短缺,2026/6/11,2026/6/8,-3,关键芯片供应紧张,采购员,2026/5/22
交期变更记录,SO-2026-08032,PO20261101523,P0065,SUP034,供应商延期,2026/11/30,2026/12/17,17,供应商产线故障维修,系统,2026/11/23
交期变更记录,SO-2026-09189,PO20260601524,P0066,SUP008,供应商延期,2026/6/12,2026/6/25,13,质量检验不合格返工,计划员,2026/6/8
交期变更记录,SO-2026-09242,PO20261201525,P0002,SUP031,供应商延期,2026/12/12,2026/12/29,17,物流受阻导致原料延迟到厂,系统,2026/11/15
交期变更记录,SO-2026-08919,PO20270201526,P0096,SUP003,客户加急,2027/2/1,2027/1/23,-9,客户展会提前需要,供应商,2027/1/19
交期变更记录,SO-2026-08242,PO20260401527,P0006,SUP036,供应商延期,2026/4/8,2026/4/21,13,物流受阻导致原料延迟到厂,计划员,2026/4/2
交期变更记录,SO-2026-09173,PO20270201528,P0090,SUP031,供应商延期,2027/2/12,2027/2/13,1,恶劣天气影响运输,系统,2027/2/11
交期变更记录,SO-2026-11796,PO20260701529,P0031,SUP008,客户加急,2026/7/31,2026/7/24,-7,客户生产线紧急启动,系统,2026/7/10
交期变更记录,SO-2026-13158,PO20260601530,P0046,SUP023,供应商延期,2026/6/13,2026/6/20,7,原材料到货延迟,系统,2026/6/5
交期变更记录,SO-2026-01052,PO20260801531,P0048,SUP002,客户加急,2026/8/4,2026/7/31,-4,终端市场需求激增,系统,2026/7/22
交期变更记录,SO-2026-03343,PO20260801532,P0013,SUP037,客户加急,2026/8/2,2026/7/26,-7,客户生产线紧急启动,采购员,2026/7/23
交期变更记录,SO-2026-09259,PO20260901533,P0092,SUP027,客户加急,2026/9/16,2026/9/4,-12,客户展会提前需要,系统,2026/8/31
交期变更记录,SO-2026-09195,PO20260801534,P0051,SUP028,供应商延期,2026/8/4,2026/8/6,2,供应商原材料短缺,系统,2026/8/1
交期变更记录,SO-2026-01990,PO20260601535,P0061,SUP032,物料短缺,2026/6/18,2026/6/8,-10,关键芯片供应紧张,系统,2026/6/6
交期变更记录,SO-2026-04795,PO20270201536,P0026,SUP024,供应商延期,2027/2/15,2027/2/27,12,质量检验不合格返工,系统,2027/2/7
交期变更记录,SO-2026-09194,,P0050,SUP033,物料短缺,2026/9/1,2026/8/18,-14,电子元器件市场缺货,计划员,2026/8/2
交期变更记录,SO-2026-04035,PO20260401538,P0072,SUP009,供应商延期,2026/4/22,2026/4/24,2,工人返岗率不足,系统,2026/3/28
交期变更记录,SO-2026-05298,PO20270501539,P0083,SUP031,物流问题,2027/5/21,2027/5/27,6,跨境物流清关延迟,计划员,2027/5/20
交期变更记录,SO-2026-00057,PO20270101540,P0072,SUP025,客户加急,2027/1/14,2026/12/31,-14,补货订单加急处理,采购员,2026/12/26
交期变更记录,SO-2026-03339,PO20260901541,P0044,SUP007,物流问题,2026/9/18,2026/9/27,9,跨境物流清关延迟,系统,2026/9/17
交期变更记录,SO-2026-11043,PO20260601542,P0035,SUP017,物料短缺,2026/6/12,2026/5/30,-13,PCB板交期延长,计划员,2026/5/16
交期变更记录,SO-2026-13218,PO20260901543,P0044,SUP002,供应商延期,2026/9/5,2026/9/16,11,产能已被其他大客户占用,系统,2026/9/3
交期变更记录,SO-2026-00665,PO20260901544,P0014,SUP037,供应商延期,2026/9/10,2026/9/12,2,质量检验不合格返工,采购员,2026/8/25
交期变更记录,SO-2026-07990,PO20260401545,P0073,SUP016,供应商延期,2026/4/18,2026/5/3,15,恶劣天气影响运输,计划员,2026/4/5
交期变更记录,SO-2026-00839,,P0049,SUP001,供应商延期,2026/3/18,2026/3/25,7,物流运输途中延误,计划员,2026/3/10
交期变更记录,SO-2026-11823,,P0100,SUP002,物流问题,2026/7/13,2026/7/16,3,港口拥堵导致船期延误,系统,2026/7/2
交期变更记录,SO-2026-13380,PO20260801548,P0037,SUP015,供应商延期,2026/8/21,2026/8/31,10,恶劣天气影响运输,计划员,2026/7/29
交期变更记录,SO-2026-04920,PO20270101549,P0037,SUP037,供应商延期,2027/1/6,2027/1/21,15,供应商原材料短缺,系统,2026/12/28
交期变更记录,SO-2026-05493,PO20260501550,P0056,SUP010,供应商延期,2026/5/28,2026/6/10,13,恶劣天气影响运输,系统,2026/5/16
交期变更记录,SO-2026-11726,,P0049,SUP025,供应商延期,2026/7/12,2026/8/1,20,电力限产政策影响,计划员,2026/6/17
交期变更记录,SO-2026-02440,,P0089,SUP004,供应商延期,2027/3/3,2027/3/16,13,电力限产政策影响,系统,2027/2/26
交期变更记录,SO-2026-05737,PO20260801553,P0089,SUP003,供应商延期,2026/8/30,2026/9/9,10,恶劣天气影响运输,系统,2026/8/2
交期变更记录,SO-2026-09115,PO20261201554,P0041,SUP012,供应商提前,2026/12/5,2026/11/28,-7,供应商备货充足提前发货,计划员,2026/11/16
交期变更记录,SO-2026-00620,PO20270101555,P0081,SUP007,客户加急,2027/1/16,2027/1/5,-11,终端市场需求激增,计划员,2026/12/30
交期变更记录,SO-2026-10828,,P0034,SUP022,物料短缺,2026/6/13,2026/5/29,-15,电子元器件市场缺货,计划员,2026/5/21
交期变更记录,SO-2026-07243,,P0072,SUP012,供应商延期,2027/2/25,2027/3/1,4,产能已被其他大客户占用,系统,2027/2/7
交期变更记录,SO-2026-00243,PO20270401558,P0027,SUP032,供应商延期,2027/4/2,2027/4/11,9,原材料到货延迟,系统,2027/3/20
交期变更记录,SO-2026-06853,PO20261101559,P0033,SUP006,物流问题,2026/11/23,2026/12/2,9,跨境物流清关延迟,系统,2026/11/12
交期变更记录,SO-2026-06071,PO20261101560,P0056,SUP020,物流问题,2026/11/25,2026/12/2,7,港口拥堵导致船期延误,采购员,2026/10/30
交期变更记录,SO-2026-03742,,P0069,SUP036,供应商提前,2027/5/24,2027/5/22,-2,供应商备货充足提前发货,系统,2027/5/11
交期变更记录,SO-2026-05875,PO20270101562,P0051,SUP016,供应商延期,2027/1/7,2027/1/10,3,质量检验不合格返工,系统,2026/12/28
交期变更记录,SO-2026-04980,PO20260401563,P0071,SUP005,供应商延期,2026/4/14,2026/4/22,8,供应商产线故障维修,采购员,2026/4/12
交期变更记录,SO-2026-07759,PO20260501564,P0006,SUP025,客户加急,2026/5/6,2026/4/27,-9,客户展会提前需要,供应商,2026/4/10
交期变更记录,SO-2026-04841,PO20260401565,P0031,SUP037,供应商延期,2026/4/8,2026/4/16,8,供应商原材料短缺,采购员,2026/3/30
交期变更记录,SO-2026-13858,PO20260801566,P0037,SUP033,供应商延期,2026/8/26,2026/8/29,3,供应商产线故障维修,供应商,2026/7/30
交期变更记录,SO-2026-05431,PO20260901567,P0093,SUP009,供应商延期,2026/9/4,2026/9/24,20,供应商原材料短缺,系统,2026/8/13
交期变更记录,SO-2026-11793,PO20260801568,P0035,SUP032,供应商延期,2026/8/3,2026/8/13,10,质量检验不合格返工,客户,2026/8/1
交期变更记录,SO-2026-01262,,P0019,SUP018,供应商延期,2027/2/28,2027/3/3,3,供应商产线故障维修,采购员,2027/2/24
交期变更记录,SO-2026-05227,PO20261101570,P0073,SUP036,供应商提前,2026/11/12,2026/11/11,-1,供应商优化排产,计划员,2026/11/1
交期变更记录,SO-2026-07128,,P0072,SUP015,物料短缺,2026/10/24,2026/10/20,-4,关键芯片供应紧张,系统,2026/10/5
交期变更记录,SO-2026-03168,PO20270101572,P0063,SUP020,客户加急,2027/1/28,2027/1/17,-11,展会样品急需,系统,2027/1/27
交期变更记录,SO-2026-06301,PO20261001573,P0029,SUP004,供应商延期,2026/10/11,2026/10/20,9,供应商原材料短缺,系统,2026/10/1
交期变更记录,SO-2026-06398,PO20270101574,P0084,SUP030,客户加急,2027/1/28,2027/1/21,-7,客户展会提前需要,计划员,2027/1/24
交期变更记录,SO-2026-12574,,P0080,SUP025,供应商延期,2026/6/14,2026/6/26,12,恶劣天气影响运输,计划员,2026/5/20
交期变更记录,SO-2026-01843,PO20260701576,P0025,SUP031,供应商延期,2026/7/8,2026/7/19,11,原材料到货延迟,采购员,2026/6/29
交期变更记录,SO-2026-00707,,P0086,SUP029,供应商延期,2026/9/10,2026/9/17,7,恶劣天气影响运输,系统,2026/9/2
交期变更记录,SO-2026-02073,PO20261001578,P0029,SUP015,供应商延期,2026/10/30,2026/11/3,4,物流运输途中延误,采购员,2026/10/3
交期变更记录,SO-2026-04372,,P0078,SUP005,客户加急,2027/3/23,2027/3/12,-11,竞品上市压力,系统,2027/3/17
交期变更记录,SO-2026-06695,,P0069,SUP023,供应商延期,2026/4/22,2026/5/7,15,供应商产线故障维修,计划员,2026/4/4
交期变更记录,SO-2026-10014,,P0086,SUP026,供应商延期,2026/6/13,2026/6/29,16,原材料到货延迟,计划员,2026/5/26
交期变更记录,SO-2026-10045,,P0071,SUP022,客户加急,2026/6/14,2026/6/9,-5,客户展会提前需要,系统,2026/6/6
交期变更记录,SO-2026-01749,,P0009,SUP019,供应商延期,2026/9/22,2026/10/5,13,物流运输途中延误,系统,2026/9/5
交期变更记录,SO-2026-08688,PO20260601584,P0022,SUP020,供应商延期,2026/6/3,2026/6/23,20,供应商原材料短缺,计划员,2026/5/13
交期变更记录,SO-2026-09055,PO20261101585,P0043,SUP018,供应商延期,2026/11/18,2026/12/5,17,供应商产线故障维修,系统,2026/10/20
交期变更记录,SO-2026-03352,,P0018,SUP007,客户加急,2027/4/16,2027/4/7,-9,客户展会提前需要,系统,2027/4/1
交期变更记录,SO-2026-04174,PO20270101587,P0008,SUP005,物流问题,2027/1/31,2027/2/3,3,空运舱位不足改海运,系统,2027/1/20
交期变更记录,SO-2026-11646,PO20260601588,P0033,SUP013,供应商延期,2026/6/27,2026/7/7,10,原材料到货延迟,系统,2026/6/23
交期变更记录,SO-2026-07185,,P0058,SUP029,供应商延期,2026/9/18,2026/9/21,3,供应商原材料短缺,系统,2026/9/16
交期变更记录,SO-2026-11885,PO20260901590,P0050,SUP011,供应商延期,2026/9/4,2026/9/5,1,物流运输途中延误,计划员,2026/9/1
交期变更记录,SO-2026-01272,PO20260301591,P0062,SUP023,供应商提前,2026/3/15,2026/3/14,-1,供应商备货充足提前发货,供应商,2026/3/6
交期变更记录,SO-2026-13990,PO20260701592,P0057,SUP034,供应商延期,2026/7/19,2026/7/27,8,供应商原材料短缺,计划员,2026/6/19
交期变更记录,SO-2026-03774,PO20260601593,P0007,SUP015,供应商延期,2026/6/21,2026/6/27,6,供应商产线故障维修,供应商,2026/5/30
交期变更记录,SO-2026-04166,PO20260601594,P0090,SUP015,供应商延期,2026/6/19,2026/6/26,7,原材料到货延迟,系统,2026/5/25
交期变更记录,SO-2026-08920,PO20270301595,P0010,SUP012,供应商延期,2027/3/1,2027/3/21,20,供应商原材料短缺,系统,2027/2/22
交期变更记录,SO-2026-10002,PO20260601596,P0094,SUP008,客户加急,2026/6/13,2026/6/9,-4,补货订单加急处理,客户,2026/5/17
交期变更记录,SO-2026-07905,,P0087,SUP030,供应商延期,2027/2/4,2027/2/8,4,物流运输途中延误,计划员,2027/1/12
交期变更记录,SO-2026-04564,PO20270501598,P0052,SUP033,物料短缺,2027/5/27,2027/5/16,-11,PCB板交期延长,计划员,2027/5/20
交期变更记录,SO-2026-07839,PO20261101599,P0009,SUP023,物流问题,2026/11/25,2026/12/6,11,跨境物流清关延迟,系统,2026/11/3
交期变更记录,SO-2026-00060,PO20261001600,P0031,SUP010,供应商延期,2026/10/31,2026/11/20,20,供应商原材料短缺,系统,2026/10/9
交期变更记录,SO-2026-08813,,P0071,SUP016,供应商延期,2026/8/12,2026/8/15,3,质量检验不合格返工,系统,2026/7/14
交期变更记录,SO-2026-08304,PO20260501602,P0094,SUP025,物流问题,2026/5/7,2026/5/19,12,港口拥堵导致船期延误,系统,2026/4/25
交期变更记录,SO-2026-05945,PO20260701603,P0077,SUP031,供应商延期,2026/7/13,2026/7/17,4,设备故障维修影响产出,系统,2026/7/8
交期变更记录,SO-2026-04123,,P0058,SUP025,供应商延期,2027/3/30,2027/4/3,4,原材料到货延迟,系统,2027/3/4
交期变更记录,SO-2026-01025,PO20260401605,P0035,SUP013,供应商延期,2026/4/22,2026/5/12,20,上游芯片短缺传导影响,系统,2026/4/9
交期变更记录,SO-2026-10950,PO20260601606,P0072,SUP035,供应商延期,2026/6/12,2026/6/19,7,恶劣天气影响运输,供应商,2026/6/2
交期变更记录,SO-2026-02005,PO20270101607,P0061,SUP021,客户加急,2027/1/15,2027/1/10,-5,客户展会提前需要,系统,2027/1/7
交期变更记录,SO-2026-07288,PO20270101608,P0050,SUP017,供应商延期,2027/1/21,2027/1/29,8,恶劣天气影响运输,系统,2027/1/17
交期变更记录,SO-2026-09648,PO20261201609,P0036,SUP026,客户加急,2026/12/3,2026/11/24,-9,竞品上市压力需抢先出货,计划员,2026/11/21
交期变更记录,SO-2026-13813,PO20260701610,P0006,SUP004,供应商延期,2026/7/10,2026/7/30,20,春节假期停工导致产能不足,计划员,2026/7/8
交期变更记录,SO-2026-05020,PO20260701611,P0012,SUP008,供应商延期,2026/7/31,2026/8/3,3,原材料到货延迟,系统,2026/7/20
交期变更记录,SO-2026-13402,PO20260801612,P0013,SUP005,供应商延期,2026/8/13,2026/8/27,14,恶劣天气影响运输,系统,2026/8/4
交期变更记录,SO-2026-04389,,P0046,SUP033,物流问题,2026/8/1,2026/8/15,14,港口拥堵导致船期延误,系统,2026/7/31
交期变更记录,SO-2026-07326,,P0003,SUP033,供应商延期,2026/8/2,2026/8/20,18,质量检验不合格返工,系统,2026/7/23
交期变更记录,SO-2026-06715,PO20260801615,P0079,SUP037,客户加急,2026/8/13,2026/8/4,-9,终端客户大促活动提前,供应商,2026/7/28
交期变更记录,SO-2026-12269,,P0051,SUP005,供应商延期,2026/8/22,2026/8/29,7,物流运输途中延误,系统,2026/8/6
交期变更记录,SO-2026-06064,PO20261001617,P0019,SUP016,客户加急,2026/10/3,2026/9/25,-8,竞品上市压力,系统,2026/9/21
交期变更记录,SO-2026-03901,,P0005,SUP027,供应商提前,2027/4/7,2027/4/5,-2,供应商产能释放提前,系统,2027/4/4
交期变更记录,SO-2026-07068,,P0060,SUP036,物流问题,2026/12/1,2026/12/12,11,空运舱位不足改海运,供应商,2026/11/24
交期变更记录,SO-2026-05621,PO20261201620,P0099,SUP026,物流问题,2026/12/27,2027/1/7,11,港口拥堵导致船期延误,采购员,2026/12/24
交期变更记录,SO-2026-05625,PO20260901621,P0025,SUP015,客户加急,2026/9/22,2026/9/17,-5,终端市场需求激增,系统,2026/9/13
交期变更记录,SO-2026-07814,PO20270301622,P0099,SUP028,物流问题,2027/3/4,2027/3/18,14,跨境物流清关延迟,计划员,2027/2/21
交期变更记录,SO-2026-13028,PO20260601623,P0029,SUP005,物料短缺,2026/6/12,2026/6/6,-6,电子元器件市场缺货,系统,2026/6/11
交期变更记录,SO-2026-03368,PO20270301624,P0037,SUP015,物流问题,2027/3/14,2027/3/19,5,港口拥堵导致船期延误,系统,2027/2/18
交期变更记录,SO-2026-06659,,P0071,SUP022,供应商延期,2026/5/16,2026/5/22,6,物流受阻导致原料延迟到厂,系统,2026/4/25
交期变更记录,SO-2026-04119,,P0047,SUP007,物流问题,2026/9/23,2026/10/3,10,空运舱位不足改海运,计划员,2026/9/14
交期变更记录,SO-2026-08218,PO20270101627,P0096,SUP037,客户加急,2027/1/21,2027/1/15,-6,终端市场需求激增,系统,2027/1/10
交期变更记录,SO-2026-08855,PO20260601628,P0082,SUP027,供应商延期,2026/6/2,2026/6/22,20,物流运输途中延误,计划员,2026/5/16
交期变更记录,SO-2026-12613,PO20260601629,P0019,SUP028,供应商延期,2026/6/13,2026/6/21,8,供应商原材料短缺,系统,2026/5/16
交期变更记录,SO-2026-13541,PO20260701630,P0055,SUP005,供应商提前,2026/7/30,2026/7/23,-7,供应商产能释放提前,采购员,2026/7/16
交期变更记录,SO-2026-10330,,P0061,SUP034,供应商延期,2026/6/13,2026/7/3,20,恶劣天气影响运输,供应商,2026/5/17
交期变更记录,SO-2026-06052,PO20261201632,P0049,SUP004,供应商延期,2026/12/11,2026/12/23,12,供应商原材料短缺,供应商,2026/12/5
交期变更记录,SO-2026-02838,PO20260301633,P0005,SUP031,物流问题,2026/3/31,2026/4/11,11,港口拥堵导致船期延误,系统,2026/3/19
交期变更记录,SO-2026-02497,PO20260601634,P0007,SUP002,供应商延期,2026/6/18,2026/6/23,5,物流运输途中延误,供应商,2026/6/10
交期变更记录,SO-2026-04521,,P0035,SUP027,供应商延期,2026/7/5,2026/7/9,4,供应商原材料短缺,系统,2026/7/4
交期变更记录,SO-2026-00634,PO20260601636,P0017,SUP021,供应商延期,2026/6/9,2026/6/16,7,供应商产线故障维修,采购员,2026/6/8
